uid,memory_key,memory_value,scope,version,last_seen,note
u0259,output_style,然后然后 三段式：背景、决定、待办 #todo,default,v4,2026/06/05 08:00:00,旧偏好
u0698,emoji_policy,我想想 麒麟系统/驱动 😅,default,v1,2026年06月05日 08:01,旧偏好
u0032,output_style,就是 驱动管理器 ～,short,v4,2026-06-05T08:02:00+08:00,仅本次
u0055,driver_update_entry,呃 纯文本 ～,default,v5,2026/06/05 08:03:00,旧偏好
u0520,answer_style,呃 13900001111……,long,v3,2026年06月05日 08:04,用户纠正
u0752,emoji_policy,就是  详细解释每一步原因 ～,knowledge,v2,2026/06/05 08:05,用户纠正
u0779,phone,然后然后 允许少量 emoji @@@,default,v3,2026/06/05 08:06,旧偏好
u0198,search_scope,呃 系统更新……,short,v3,2026年06月05日 08:07,仅本次
u0214,email,[ASR] 详细解释每一步原因 ENDEND,long,v1,2026年06月05日 08:08,仅本次
u0383,driver_update_entry,嗯  user@example.com ～,long,v0,2026-06-05 08:09:00,需人工复查
u0422,meeting_minutes_format,麻烦  仅本地知识库 ENDEND,default,v5,2026年06月05日 08:10,需人工复查
u0706,answer_style, 简洁、少废话 <!-- cached -->,default,v3,2026-06-05T08:11:00+08:00,错误写入，应移除
u0176,answer_style,啊 仅本地知识库（口述）,knowledge,v0,2026-06-05T08:12:00,旧偏好
u0484,driver_update_entry,就是 敏感信息只用于本轮工具调用……,knowledge,v5,2026/06/05 08:13,用户纠正
u0586,phone,那个 先给结论，再给步骤……,long,v2,2026-06-05T08:14:00+08:00,用户纠正
u0063,phone,我想想　13900001111 @@@,default,v1,2026/06/05 08:15,需人工复查
u0233,search_scope,help: 仅本地知识库 [draft],knowledge,v1,2026/06/05 08:16,需人工复查
u0413,meeting_minutes_format,麻烦　详细、带数据表格 #todo,knowledge,v4,2026-06-05T08:17:00,仅本次
u0589,answer_style,就是 短句回复！！！,long,v0,2026-06-05 08:18:00,错误写入，应移除
u0585,meeting_minutes_format,我想想 先结论后步骤……,long,v0,2026-06-05T08:19:00+08:00,旧偏好
u0319,output_style,呃 先给结论，再给步骤 @@@,knowledge,v2,2026/06/05 08:20:00,需人工复查
u0696,privacy_policy,其实 仅本地知只库 #todo,long,v4,2026年06月05日 08:21,错误写入，应移除
u0013,phone,我想想 bullet 列表 @@@,long,v0,2026-06-05T08:22:00,仅本次
u0401,output_style,就是  ```允许少量 emoji``` 电话 13900001111 😅,knowledge,v1,2026-06-05 08:23:00,用户纠正
u0106,emoji_policy,稍等 不保存测试手机号！！！,long,v0,2026年06月05日 08:24,仅本次
u0796,emoji_policy, 纯文本 <!-- cached -->,short,v4,2026-06-05T08:25:00,仅本次
u0412,meeting_minutes_format,help: 系统更新 @@@,default,v2,2026年06月05日 08:26,用户纠正
u0290,emoji_policy,麻烦 允许少量 emoji（口述）,long,v4,2026/06/05 08:27:00,旧偏好
u0438,meeting_minutes_format,就是 仅本地知只库 #todo,long,v5,2026/06/05 08:28:00,需人工复查
u0146,answer_style,"麻烦 user@example.com
stdout: OK 😅",default,v0,2026/06/05 08:29:00,需人工复查
u0626,meeting_minutes_format,麻烦 默认允许（口述）,short,v0,2026/06/05 08:30:00,用户纠正
u0573,search_scope,"呃　系统更新

<!--done--> 😅",long,v5,2026/06/05 08:31,错误写入，应移除
u0489,emoji_policy, ```纯文本``` [draft],short,v5,2026-06-05 08:32:00,需人工复查
u0770,answer_style,稍等 user@example.com #todo,knowledge,v5,2026-06-05T08:33:00+08:00,需人工复查
u0132,emoji_policy,就是 祥细解释每一步原因 [draft],long,v5,2026/06/05 08:34,用户纠正
u0094,email,呃 详细、带数据表格,long,v3,2026/06/05 08:35,需人工复查
u0587,output_style,麻烦 <<<< 短句回复 >>>>,knowledge,v1,2026-06-05T08:36:00+08:00,错误写入，应移除
u0364,meeting_minutes_format,[ASR] 三段式：背景、决定、待办 ～,long,v0,2026年06月05日 08:37,用户纠正
u0111,emoji_policy,啊 只给步骤 😅,default,v3,2026-06-05T08:38:00,需人工复查
u0493,output_style,呃 bullet 列表 ～,long,v1,2026/06/05 08:39:00,旧偏好
u0703,driver_update_entry,help:  麒麟系统/驱动 [draft],default,v0,2026年06月05日 08:40,用户纠正
u0320,output_style,然后然后 办公软件/模板 邮箱 user264@example.com,knowledge,v4,2026-06-05 08:41:00,仅本次
u0516,output_style,那个 纯文本 😅,short,v1,2026-06-05T08:42:00,需人工复查
u0314,output_style, 只给步骤 ～,knowledge,v3,2026/06/05 08:43:00,旧偏好
u0061,answer_style,那个 先结论后步骤,knowledge,v5,2026-06-05T08:44:00+08:00,仅本次
u0296,phone,[ASR] **仅本地知识库** #todo,default,v4,2026-06-05T08:45:00+08:00,旧偏好
u0016,phone,呃 ```系统更新``` ～,knowledge,v1,2026-06-05 08:46:00,错误写入，应移除
u0663,search_scope,help: **详细解释每一步原因** <!-- cached -->,short,v4,2026/06/05 08:47,仅本次
u0507,answer_style,麻烦  bullet 列表 <!-- cached -->,long,v0,2026年06月05日 08:48,旧偏好
u0673,output_style,我想想 简洁、少废话 [draft],short,v2,2026年06月05日 08:49,需人工复查
u0106,privacy_policy,呃 禁用 #todo,short,v2,2026年06月05日 08:50,错误写入，应移除
u0147,privacy_policy,help: 详细解释每一步原因 😅,default,v3,2026/06/05 08:51,错误写入，应移除
u0727,email,然后然后 不保存测试手机号 ENDEND,short,v2,2026-06-05T08:52:00+08:00,用户纠正
u0052,driver_update_entry,稍等 办公软件/模板 ENDEND,default,v0,2026-06-05T08:53:00+08:00,仅本次
u0201,output_style,然后然后 仅本地知只库……,knowledge,v4,2026年06月05日 08:54,用户纠正
u0642,privacy_policy,help: 不保存测试手机号 <!-- cached -->,knowledge,v5,2026/06/05 08:55:00,旧偏好
u0630,phone,"嗯 简洁、少废话
stdout: OK ～",knowledge,v0,2026年06月05日 08:56,用户纠正
u0505,driver_update_entry,稍等 敏感信息只用于本轮工具调用 #todo,knowledge,v4,2026-06-05T08:57:00+08:00,错误写入，应移除
u0621,search_scope,"就是 禁用

<!--done--> #todo",knowledge,v2,2026/06/05 08:58:00,旧偏好
