conflict_id,uid,old_memory,new_signal,expected_effect,evidence_time
C-D05-00000,u0447,呃 <p>保存手机号</p> #todo,"[ASR] 驱动管理器
cache=false #todo",只保留本轮,2026/06/05 08:00
C-D05-00001,u0015,麻烦 允许 emoji（口述）, 别保存手机号 <!-- cached -->,删除或脱敏,2026年06月05日 08:01
C-D05-00002,u0621,其实 <<<< 系统更新 >>>>（口述）,  别保存手机号,删除或脱敏,2026-06-05T08:02:00
C-D05-00003,u0446,我想想 简洁版 ENDEND,其实 **别保存手机号** <!-- cached -->,标记 needs_review,2026-06-05T08:03:00+08:00
C-D05-00004,u0754,嗯  保存手机号！！！,那个 禁用 emoji @@@,删除或脱敏,2026-06-05T08:04:00
C-D05-00005,u0415,我想想 简洁版 [draft],[ASR] 别保存手机号 #todo,覆盖旧记忆,2026/06/05 08:05
C-D05-00006,u0070,然后然后 **系统更新** <!-- cached -->,其实 【驱动管理器】！！！,删除或脱敏,2026年06月05日 08:06
C-D05-00007,u0435,help: 允许 emoji……,呃 详细版,只保留本轮,
C-D05-00008,u0696,就是　允许 emoji ENDEND,啊 详细版！！！,删除或脱敏,2026/06/05 08:08
C-D05-00009,u0634,[ASR] 系统更新（口述）,其实 <<<< 驱动管理器 >>>> ～,覆盖旧记忆,2026年06月05日 08:09
C-D05-00010,u0430,就是 保存手机号！！！,我想想 禁用 emoji（口述）,覆盖旧记忆,2026-06-05T08:10:00
C-D05-00011,u0787,稍等 允许 emoji！！！,啊 别保存手机号 😅,删除或脱敏,2026-06-05 08:11:00
C-D05-00012,u0356,help: 允许 emoji <!-- cached -->,呃 禁用 emoji……,覆盖旧记忆,2026-06-05 08:12:00
C-D05-00013,u0162,啊 保存手机号……,嗯 详细版……,删除或脱敏,2026-06-05 08:13:00
C-D05-00014,u0213,我想想 系统更新 [draft],嗯 禁用 emoji,删除或脱敏,2026-06-05 08:14:00
C-D05-00015,u0227,嗯　系统更新……,"呃 祥细版

<!--done--> ～",只保留本轮,2026年06月05日 08:15
C-D05-00016,u0560,"我想想 ```系统更新```
stdout: OK ENDEND",  驱动管理器 <!-- cached -->,标记 needs_review,2026-06-05 08:16:00
C-D05-00017,u0373,麻烦 允许 emoji ～,啊　别保存手机号 ENDEND,标记 needs_review,2026-06-05T08:17:00+08:00
C-D05-00018,u0594,呃 简洁版 [draft],  <p>别保存手机号</p> <!-- cached -->,删除或脱敏,2026-06-05T08:18:00+08:00
C-D05-00019,u0696, 保存手机号 😅,麻烦 ```禁用 emoji``` <!-- cached -->,标记 needs_review,2026/06/05 08:19
C-D05-00020,u0605,"就是 简洁版
cache=false ～",我想想  驱动管理器 [draft],只保留本轮,2026年06月05日 08:20
C-D05-00021,u0263, 允许 emoji！！！,　驱动管理器 ENDEND,覆盖旧记忆,2026/06/05 08:21:00
C-D05-00022,u0775,稍等 <p>保存手机号</p> @@@,麻烦 驱动管理器 😅,标记 needs_review,2026-06-05 08:22:00
C-D05-00023,u0111,我想想 **系统更新**（口述）, 详细版 😅,删除或脱敏,2026年06月05日 08:23
C-D05-00024,u0228,呃 【允许  emoji】 ～,麻烦 别保存手机号 😅,标记 needs_review,2026-06-05T08:24:00+08:00
C-D05-00025,u0118,"嗯  允许 emoji

<!--done--> [draft]",其实 驱动管理器 #todo,删除或脱敏,2026年06月05日 08:25
C-D05-00026,u0172,[ASR] 系统更新……,"就是 别保存手机号
stdout: OK [draft]",删除或脱敏,2026-06-05 08:26:00
C-D05-00027,u0044,那个 简洁版……,[ASR] 别保存手机号 ENDEND,删除或脱敏,2026/06/05 08:27:00
C-D05-00028,u0428,我想想 允许  emoji！！！,然后然后 别保存手机号 ～,只保留本轮,2026-06-05 08:28:00
C-D05-00029,u0494,"呃 允许 emoji
stdout: OK [draft]","啊 详细版
stdout: OK @@@",覆盖旧记忆,2026-06-05T08:29:00+08:00
C-D05-00030,u0518,稍等 简洁版 @@@,help:　详细版……,只保留本轮,2026/06/05 08:30
C-D05-00031,u0442,稍等　系统更新 #todo,嗯　**别保存手机号**（口述）,删除或脱敏,2026-06-05T08:31:00+08:00
C-D05-00032,u0538,稍等 保存手机号 😅,稍等 禁用 emoji ～,覆盖旧记忆,2026-06-05 08:32:00
C-D05-00033,u0328,"呃　保存手机号

<!--done--> #todo",我想想 禁用 emoji ENDEND,标记 needs_review,2026-06-05T08:33:00+08:00
C-D05-00034,u0617,[ASR] 保存手机号 #todo,我想想 驱动管理器,删除或脱敏,2026-06-05T08:34:00
C-D05-00035,u0077,[ASR] 允许 emoji 😅,就是  <p>别保存手机号</p> [draft],标记 needs_review,2026/06/05 08:35
