pref_id,uid,pref_key,pref_value,version,note
P-D04-00000,u0018,answer_style,就是 短句回复 [draft],v0,仅本次例外
P-D04-00001,u0171,search_scope,稍等 仅本地知只库 <!-- cached -->,v1,重复记录
P-D04-00002,u0674,meeting_minutes_format,help: 不超过200字 <!-- cached -->,v2,仅本次例外
P-D04-00003,u0097,emoji_policy,我想想  纯文本 <!-- cached -->,v4,仅本次例外
P-D04-00004,u0770,emoji_policy,就是 纯文本（口述）,v0,重复记录
P-D04-00005,u0696,output_style,就是 <p>先结论后步骤</p>（口述）,v0,管理员导入旧偏好
P-D04-00006,u0657,meeting_minutes_format,稍等 不超过200字 @@@,v3,用户明确表达
P-D04-00007,u0202,output_style,嗯 简洁、少废话（口述）,v3,管理员导入旧偏好
P-D04-00008,u0023,privacy_policy,嗯 ```敏感信息只用于本轮工具调用``` ENDEND,v1,用户明确表达
P-D04-00009,u0544,answer_style,然后然后 祥细解释每一步原因（口述）,v4,用户明确表达
P-D04-00010,u0616,output_style,嗯　详细、带数据表格 #todo,v1,仅本次例外
P-D04-00011,u0376,search_scope,然后然后 仅本地知识库 😅,v2,用户纠正
P-D04-00012,u0021,output_style,啊 简洁、少废话 😅,v4,用户明确表达
P-D04-00013,u0121,privacy_policy,就是  敏感信息只用于本轮工具调用 ENDEND,v2,用户明确表达
P-D04-00014,u0690,emoji_policy,麻烦 默认允许 ENDEND,v2,管理员导入旧偏好
P-D04-00015,u0483,privacy_policy,help: <<<< 敏感信息只用于本轮工具调用 >>>> ～,v0,重复记录
P-D04-00016,u0062,privacy_policy,"　敏感信息只用于本轮工具调用
cache=false #todo",v3,仅本次例外
P-D04-00017,u0099,search_scope,"那个 奇麟系统/驱动

<!--done-->（口述）",v2,用户明确表达
P-D04-00018,u0606,output_style,  简洁、少废话 @@@,v2,重复记录
P-D04-00019,u0496,emoji_policy,稍等　纯文本 😅,v1,重复记录
P-D04-00020,u0512,answer_style,啊 先给结论，再给步骤 [draft],v4,重复记录
P-D04-00021,u0672,meeting_minutes_format,呃 不超过200字……,v1,用户明确表达
P-D04-00022,u0736,privacy_policy,稍等　不保存测试手机号！！！,v1,用户纠正
P-D04-00023,u0265,search_scope,那个 办公软件/模板,v0,仅本次例外
P-D04-00024,u0797,emoji_policy,其实 <p>纯文本</p> @@@,v4,用户明确表达
P-D04-00025,u0539,meeting_minutes_format,　三段式：背景、决定、待办 ENDEND,v2,用户明确表达
P-D04-00026,u0693,emoji_policy,然后然后 允许少量 emoji,v2,用户纠正
P-D04-00027,u0663,search_scope,其实  麒麟系统/驱动！！！,v1,用户明确表达
P-D04-00028,u0358,answer_style,我想想  详细解释每一步原因 😅,v1,重复记录
P-D04-00029,u0588,output_style,啊　```先结论后步骤```……,v4,用户明确表达
P-D04-00030,u0037,output_style," 先结论后步骤
stdout: OK！！！",v4,管理员导入旧偏好
P-D04-00031,u0436,meeting_minutes_format,然后然后 bullet 列表 <!-- cached -->,v2,管理员导入旧偏好
P-D04-00032,u0263,emoji_policy,其实　允许少量 emoji #todo,v1,管理员导入旧偏好
P-D04-00033,u0717,output_style,然后然后  详细、带数据表格 [draft],v0,用户纠正
P-D04-00034,u0730,answer_style,[ASR] 短句回复 电话 13812345678,v4,用户纠正
P-D04-00035,,output_style,嗯　简洁、少废话（口述）,v2,重复记录
P-D04-00036,u0217,emoji_policy,就是　默认允许 😅,v1,用户明确表达
P-D04-00037,u0441,answer_style,那个  详细解释每一步原因（口述）,v2,仅本次例外
P-D04-00038,u0324,search_scope,help: <<<< 仅本地知识库 >>>> 😅,v2,重复记录
P-D04-00039,u0393,output_style,就是 只给步骤 [draft],v2,仅本次例外
P-D04-00040,u0043,answer_style,嗯 短句回复……,v2,仅本次例外
P-D04-00041,u0796,privacy_policy,help: 敏感信息只用于本轮工具调用（口述）,v4,管理员导入旧偏好
P-D04-00042,u0391,meeting_minutes_format, bullet 列表……,v0,管理员导入旧偏好
P-D04-00043,u0187,meeting_minutes_format,[ASR] 不超过200字 [draft],v2,管理员导入旧偏好
P-D04-00044,u0280,search_scope,  办公软件/模板 [draft],v0,用户明确表达
P-D04-00045,u0166,meeting_minutes_format,稍等　三段式：背景、决定、待办……,v2,重复记录
P-D04-00046,u0729,answer_style,呃 短句回复……,v1,用户明确表达
P-D04-00047,u0293,output_style,麻烦　先结论后步骤 ～,v0,用户纠正
P-D04-00048,u0488,answer_style,啊 先给结论，再给步骤 #todo,v3,用户明确表达
P-D04-00049,u0789,privacy_policy,啊 敏感信息只用于本轮工具调用 #todo,v1,重复记录
P-D04-00050,u0035,meeting_minutes_format, 三段式：背景、决定、待办 ～,v3,用户纠正
P-D04-00051,u0324,answer_style,那个 **短句回复**（口述）,v0,管理员导入旧偏好
P-D04-00052,u0109,answer_style, 短句回复,v4,仅本次例外
P-D04-00053,u0043,emoji_policy,就是 纯文本（口述）,v4,仅本次例外
P-D04-00054,u0680,emoji_policy,麻烦 纯文本（口述）,v3,管理员导入旧偏好
P-D04-00055,u0540,privacy_policy,"啊 敏感信息只用于本轮工具调用
cache=false [draft]",v4,重复记录
P-D04-00056,u0252,answer_style,[ASR] 【祥细解释每一步原因】 ～,v0,管理员导入旧偏好
P-D04-00057,u0438,output_style,然后然后　先结论后步骤 ENDEND,v4,用户明确表达
P-D04-00058,u0718,output_style,嗯 简洁、少废话,v2,仅本次例外
P-D04-00059,u0388,output_style,啊 先结论后步骤（口述）,v2,仅本次例外
P-D04-00060,,meeting_minutes_format,  bullet 列表,v2,用户纠正
P-D04-00061,u0106,privacy_policy,就是 不保存测试手机号 😅,v1,重复记录
P-D04-00062,u0485,search_scope,然后然后 **办公软件/模板** [draft],v0,用户明确表达
P-D04-00063,u0427,privacy_policy,稍等　不保存测试手机号 😅,v1,用户纠正
P-D04-00064,u0175,meeting_minutes_format,稍等 不超过200字 😅,v0,用户明确表达
P-D04-00065,u0773,emoji_policy,help: 纯文本 😅,v1,仅本次例外
P-D04-00066,u0687,privacy_policy,"help: 不保存测试手机号
cache=false [draft]",v4,用户明确表达
P-D04-00067,u0250,privacy_policy,嗯 <<<< 敏感信息只用于本轮工具调用 >>>> #todo,v3,仅本次例外
P-D04-00068,u0476,privacy_policy,嗯 不保存测试手机号（口述）,v4,管理员导入旧偏好
P-D04-00069,u0240,meeting_minutes_format,然后然后 **三段式：背景、决定、待办** #todo,v2,用户纠正
P-D04-00070,u0024,emoji_policy,[ASR] 禁用 #todo,v1,管理员导入旧偏好
P-D04-00071,u0763,privacy_policy, 不保存测试手机号 #todo,v1,用户明确表达
P-D04-00072,u0297,output_style,help: 先结论后步骤 <!-- cached -->,v1,管理员导入旧偏好
P-D04-00073,u0734,meeting_minutes_format,"[ASR] 三段式：背景、决定、待办
stdout: OK ～",v4,管理员导入旧偏好
